	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tbodyAcc-mean()-Z	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	 tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-mean()	tBodyAccMag-std()	tGravityAccMag-mean()	tGravityAccMag-std()	tBodyAccJerkMag-mean()	tBodyAccJerkMag-std()	tBodyGyroMag-mean()	tBodyGyroMag-std()	tBodyGyroJerkMag-mean()	tBodyGyroJerkMag-std()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-mean()	fBodyAccMag-std()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-std()	
Subject 11	2.7688027e-001	-1.2721805e-002	-1.0343832e-001	-9.9481511e-001	-9.7307692e-001	-9.8535702e-001	-9.9550927e-001	-9.7394796e-001	-9.8517247e-001	-9.4002751e-001	-5.5459369e-001	-8.1585037e-001	8.4544241e-001	6.8475694e-001	8.3845531e-001	-9.8788260e-001	-9.9996466e-001	-9.9972388e-001	-9.9966654e-001	-9.9586811e-001	-9.8026464e-001	-9.8275516e-001	-6.2899733e-001	-3.9674770e-001	-4.2390021e-001	3.4550760e-001	-1.7399563e-001	1.7812281e-001	1.6944389e-001	-2.0162546e-002	1.3603355e-001	-1.1440555e-001	2.4337464e-001	3.0091239e-001	-7.6444539e-002	8.1957156e-002	1.5267874e-001	8.5036618e-003	-3.5591621e-001	2.2730862e-001	9.6920266e-001	-1.5236144e-001	8.1258077e-002	-9.9726455e-001	-9.8648794e-001	-9.9469268e-001	-9.9738579e-001	-9.8585056e-001	-9.9474436e-001	8.9494092e-001	-1.7248553e-001	7.3598516e-002	9.8782618e-001	-1.2692295e-001	8.3047547e-002	-4.2413438e-001	9.1482867e-001	-9.6520249e-001	-9.8868542e-001	-9.9761938e-001	-9.8410463e-001	-9.9535648e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.4724955e-001	3.8440621e-001
Subject 12	2.7622817e-001	-2.1441302e-002	-1.0820234e-001	-9.9824595e-001	-9.8721376e-001	-9.9272659e-001	-9.9825127e-001	-9.8599654e-001	-9.9318188e-001	-9.4390578e-001	-5.7142214e-001	-8.2069493e-001	8.5053227e-001	6.8652760e-001	8.4601343e-001	-9.9462360e-001	-9.9999109e-001	-9.9988649e-001	-9.9987904e-001	-9.9747424e-001	-9.8486780e-001	-9.9293629e-001	-8.3802192e-001	-7.7507130e-001	-6.0257621e-001	3.4296593e-001	-3.2393811e-001	3.7100591e-001	-1.0756761e-001	2.3592260e-001	-1.2935302e-001	1.9638015e-002	1.1829586e-001	5.3825701e-001	-2.0844565e-001	3.5594639e-001	-1.3041131e-001	-2.6723866e-001	-1.1897109e-001	1.6555970e-001	9.6925328e-001	-1.5006376e-001	8.2931213e-002	-9.9812719e-001	-9.9482045e-001	-9.9230114e-001	-9.9810433e-001	-9.9494978e-001	-9.9228907e-001	8.9494092e-001	-1.7248553e-001	7.4662215e-002	9.8861347e-001	-1.2340878e-001	8.3129108e-002	-4.2580589e-001	9.1496274e-001	-9.6639363e-001	-9.8817785e-001	-9.9776094e-001	-9.9549579e-001	-9.9257602e-001	-1.0000000e+000	-1.0000000e+000	-6.9366377e-001	-3.7041540e-001	3.7605091e-001
Subject 13	2.7845700e-001	-2.0414761e-002	-1.1273172e-001	-9.9913488e-001	-9.8468004e-001	-9.9627424e-001	-9.9907654e-001	-9.8293702e-001	-9.9641031e-001	-9.4390578e-001	-5.6970419e-001	-8.2503369e-001	8.5206858e-001	6.8652760e-001	8.4601343e-001	-9.9511608e-001	-9.9999630e-001	-9.9987726e-001	-9.9991888e-001	-9.9838369e-001	-9.8062478e-001	-9.9527560e-001	-8.4967219e-001	-6.7399747e-001	-7.5465919e-001	1.5746199e-001	-4.6057965e-002	4.8849273e-002	4.9067399e-003	2.9651622e-001	-1.7940914e-001	1.3717590e-001	-1.3203679e-001	2.7060202e-001	3.4357912e-002	-7.0439343e-002	9.9257233e-002	-3.5235838e-002	-1.5630495e-001	1.1396453e-001	9.6899630e-001	-1.5236210e-001	8.3150803e-002	-9.9915165e-001	-9.8730738e-001	-9.9361292e-001	-9.9918699e-001	-9.8674895e-001	-9.9361409e-001	8.9436796e-001	-1.7260590e-001	7.4662215e-002	9.8861347e-001	-1.2646746e-001	8.3771745e-002	-4.1947189e-001	9.1428105e-001	-9.6520364e-001	-9.8811148e-001	-9.9916339e-001	-9.8494960e-001	-9.9361721e-001	-1.0000000e+000	-1.0000000e+000	-6.9252448e-001	-2.5762636e-001	2.6148898e-001
Subject 14	2.7717497e-001	-1.4712802e-002	-1.0675647e-001	-9.9918834e-001	-9.9052638e-001	-9.9336501e-001	-9.9921135e-001	-9.9068725e-001	-9.9216753e-001	-9.4332286e-001	-5.6935747e-001	-8.2251470e-001	8.5203494e-001	6.9264730e-001	8.4634960e-001	-9.9656409e-001	-9.9999670e-001	-9.9993598e-001	-9.9988867e-001	-9.9808164e-001	-9.9289029e-001	-9.9008837e-001	-8.8821474e-001	-5.5377311e-001	-5.5088154e-001	4.1209703e-001	-1.2823691e-001	2.6507977e-001	6.7705297e-002	2.8913632e-001	-2.4061545e-001	3.1522278e-001	-1.5240411e-001	1.8057760e-001	5.0365858e-002	-3.9835807e-002	-9.9919957e-003	4.3618841e-002	-1.4385258e-001	9.7965304e-002	9.6904398e-001	-1.5414125e-001	8.1819604e-002	-9.9957758e-001	-9.9425118e-001	-9.9511053e-001	-9.9961472e-001	-9.9420710e-001	-9.9541542e-001	8.9436796e-001	-1.7551413e-001	7.4087900e-002	9.8889992e-001	-1.2646746e-001	8.3557737e-002	-4.1810580e-001	9.1440745e-001	-9.6428473e-001	-9.8851700e-001	-9.9973245e-001	-9.9408745e-001	-9.9632492e-001	-1.0000000e+000	-1.0000000e+000	-9.0585081e-001	-1.2575752e-001	1.6816440e-001
Subject 15	2.9794572e-001	2.7093908e-002	-6.1668123e-002	-9.8864079e-001	-8.1669860e-001	-9.0190653e-001	-9.8895795e-001	-7.9428042e-001	-8.8801460e-001	-9.2597669e-001	-4.4846574e-001	-7.3057881e-001	8.4866648e-001	6.8064999e-001	8.3820463e-001	-9.0380553e-001	-9.9980374e-001	-9.8939981e-001	-9.9119755e-001	-9.8937379e-001	-7.6953683e-001	-8.6902871e-001	-1.6320286e-001	5.4644779e-002	7.3002860e-002	1.5786284e-001	-1.6033638e-001	1.9031876e-001	-3.2183034e-001	-3.1540154e-001	2.7936590e-001	-3.0721057e-001	3.4262120e-001	-8.2974088e-002	2.7344290e-002	-4.6471172e-002	-8.6541692e-002	8.2187193e-001	7.3765624e-001	9.4534472e-001	9.4489486e-001	-2.9262334e-001	-2.1435523e-002	-9.6404530e-001	-8.1461226e-001	-8.6787383e-001	-9.6497881e-001	-8.1020875e-001	-8.6139137e-001	8.7758813e-001	-2.7775430e-001	-7.3619503e-003	9.4674897e-001	-3.1953731e-001	-4.7335567e-002	-2.1978717e-001	8.5095811e-001	-8.5222007e-001	-9.9777530e-001	-9.6778404e-001	-8.0352373e-001	-8.4509268e-001	-7.1693773e-001	-1.0000000e+000	-1.0000000e+000	-4.5115692e-001	4.4635787e-001
Subject 16	2.7920345e-001	-2.3020143e-002	-1.2208028e-001	-9.9683904e-001	-9.7484812e-001	-9.8338551e-001	-9.9709389e-001	-9.7333193e-001	-9.8406535e-001	-9.4171580e-001	-5.7093916e-001	-8.1763455e-001	8.4866648e-001	6.8064999e-001	8.3820463e-001	-9.8440195e-001	-9.9998138e-001	-9.9972099e-001	-9.9936633e-001	-9.9668414e-001	-9.7504864e-001	-9.8384372e-001	-6.2797094e-001	-6.6763441e-001	-7.6162511e-001	2.9104370e-001	-1.6003429e-001	1.4497072e-001	6.7883442e-002	1.4561603e-001	-1.9285001e-001	5.5579133e-002	2.4927042e-001	3.3757355e-001	-2.6116712e-001	1.7672842e-001	-2.2223962e-001	3.2959319e-001	2.3799944e-001	5.3873094e-001	9.5201342e-001	-2.6311695e-001	-3.5761635e-003	-9.9509379e-001	-9.7591253e-001	-9.7119457e-001	-9.9590440e-001	-9.7876537e-001	-9.7385708e-001	8.7815990e-001	-2.7775430e-001	-7.3619503e-003	9.6863457e-001	-2.4813963e-001	-1.4843606e-002	-3.3394807e-001	8.6950975e-001	-8.8412852e-001	-9.9979590e-001	-9.9845481e-001	-9.8205190e-001	-9.7734475e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-6.6801068e-001	6.7166052e-001
Subject 17	2.7903836e-001	-1.4800378e-002	-1.1684896e-001	-9.9694116e-001	-9.8186562e-001	-9.8257653e-001	-9.9721998e-001	-9.8161964e-001	-9.8133604e-001	-9.4171580e-001	-5.6349958e-001	-8.2421490e-001	8.5257303e-001	6.8889470e-001	8.3839767e-001	-9.8929607e-001	-9.9998225e-001	-9.9985807e-001	-9.9951471e-001	-9.9667618e-001	-9.8359476e-001	-9.7765292e-001	-6.4563295e-001	-4.8190674e-001	-6.7691584e-001	1.9314486e-001	-4.0289908e-002	1.0950497e-001	-4.6524407e-002	3.3975070e-001	-4.0805550e-001	4.2869234e-001	-9.4966866e-002	2.7391497e-001	-2.2993200e-001	7.5729287e-002	5.9085062e-003	2.8049739e-001	1.2711242e-001	5.3834512e-001	9.5272437e-001	-2.6509148e-001	-7.7089922e-003	-9.9928053e-001	-9.9197906e-001	-9.7103653e-001	-9.9928627e-001	-9.9344395e-001	-9.7117875e-001	8.7815990e-001	-2.8062914e-001	-8.4768639e-003	9.7277627e-001	-2.3590783e-001	-1.0778031e-002	-3.1617569e-001	8.7137227e-001	-8.8229013e-001	-9.9961135e-001	-9.9937811e-001	-9.9672713e-001	-9.7109518e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-2.8317597e-001	3.0319968e-001
Subject 18	2.8013490e-001	-1.3916951e-002	-1.0637048e-001	-9.9769492e-001	-9.8751567e-001	-9.9040744e-001	-9.9801432e-001	-9.8795448e-001	-9.9219012e-001	-9.4207598e-001	-5.6349958e-001	-8.1589176e-001	8.4985145e-001	6.9387601e-001	8.3839767e-001	-9.9490653e-001	-9.9998663e-001	-9.9990377e-001	-9.9982273e-001	-9.9790967e-001	-9.9010203e-001	-9.9370816e-001	-6.4211168e-001	-4.9609317e-001	-5.4455916e-001	3.3571602e-001	-1.3604554e-001	2.0566682e-001	-4.7574216e-002	2.0359490e-001	-2.2658795e-001	3.7931261e-001	-2.1339600e-001	1.0140072e-001	-7.2708945e-003	7.6415062e-002	-1.5366061e-001	1.5336261e-001	-9.7573537e-002	1.2837930e-001	9.5306401e-001	-2.6471825e-001	-1.1556695e-002	-9.9863217e-001	-9.9238313e-001	-9.9072749e-001	-9.9864869e-001	-9.9196677e-001	-9.9118363e-001	8.7888016e-001	-2.8303343e-001	-1.6709792e-002	9.7297016e-001	-2.3590783e-001	-1.0778031e-002	-3.0625479e-001	8.7226299e-001	-8.8264601e-001	-9.9941329e-001	-9.9861375e-001	-9.9150548e-001	-9.9186770e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-2.7375121e-001	3.0426162e-001
Subject 19	2.7773106e-001	-1.8210718e-002	-1.0918803e-001	-9.9749074e-001	-9.9322197e-001	-9.9612795e-001	-9.9790305e-001	-9.9271072e-001	-9.9649182e-001	-9.4487012e-001	-5.7509103e-001	-8.1589176e-001	8.4715408e-001	6.9259112e-001	8.4722607e-001	-9.9814286e-001	-9.9998657e-001	-9.9996318e-001	-9.9994398e-001	-9.9748035e-001	-9.9383785e-001	-9.9522186e-001	-7.0181918e-001	-7.5322464e-001	-6.6981175e-001	3.2257202e-001	-1.3541257e-001	-1.8095622e-002	3.6422547e-001	2.0138733e-001	-1.1428477e-001	2.7952899e-001	-9.2519141e-002	4.6136184e-001	-2.4245035e-001	4.1730391e-001	-1.5496366e-001	1.9087473e-001	-4.5007306e-002	3.0811416e-002	9.5360569e-001	-2.6305774e-001	-1.1094388e-002	-9.9877540e-001	-9.9697129e-001	-9.9493392e-001	-9.9878426e-001	-9.9737161e-001	-9.9548274e-001	8.7908726e-001	-2.8300845e-001	-1.9257440e-002	9.7325777e-001	-2.3427394e-001	-1.0586199e-002	-3.1095781e-001	8.7368389e-001	-8.8422429e-001	-9.9944712e-001	-9.9878363e-001	-9.9823449e-001	-9.9719962e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-4.2062727e-001	4.6972548e-001
Subject 20	2.7556818e-001	-1.6979698e-002	-1.1142918e-001	-9.9781139e-001	-9.9052230e-001	-9.9762104e-001	-9.9820522e-001	-9.8946983e-001	-9.9719303e-001	-9.4566163e-001	-5.7334183e-001	-8.2658225e-001	8.4715408e-001	6.9259112e-001	8.4750921e-001	-9.9741806e-001	-9.9998790e-001	-9.9994650e-001	-9.9995659e-001	-9.9843035e-001	-9.9035381e-001	-9.9445805e-001	-8.0591961e-001	-6.6103907e-001	-7.2913892e-001	2.8494538e-001	-1.2178053e-001	-7.4247996e-002	5.3600328e-001	2.1198761e-001	-2.0414878e-001	4.1598224e-001	-2.7171674e-001	5.4289847e-001	-3.3347530e-001	4.0217759e-001	-9.1204808e-003	1.1093920e-001	7.4452759e-002	2.5549758e-001	9.5359464e-001	-2.6348997e-001	-1.1425851e-002	-9.9874860e-001	-9.9585747e-001	-9.9422799e-001	-9.9875625e-001	-9.9563345e-001	-9.9421047e-001	8.7908726e-001	-2.8300845e-001	-1.9257440e-002	9.7336429e-001	-2.3399273e-001	-1.0399701e-002	-3.0891958e-001	8.7365490e-001	-8.8381482e-001	-9.9942462e-001	-9.9866212e-001	-9.9517799e-001	-9.9390774e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-4.3365517e-001	4.7801048e-001
Subject 21	2.7756171e-001	-1.4318487e-002	-1.0787724e-001	-9.9790424e-001	-9.9431129e-001	-9.9595166e-001	-9.9836517e-001	-9.9360447e-001	-9.9559481e-001	-9.4147242e-001	-5.7295816e-001	-8.2002259e-001	8.5161294e-001	6.9476646e-001	8.4750921e-001	-9.9810107e-001	-9.9998932e-001	-9.9995770e-001	-9.9994167e-001	-9.9822682e-001	-9.9306092e-001	-9.9399910e-001	-7.4225103e-001	-6.0838995e-001	-6.2526153e-001	4.0506799e-001	-2.1790843e-001	1.7636191e-001	2.5502192e-001	2.9412943e-001	-2.5197590e-001	3.5681130e-001	-8.0195620e-002	4.0504432e-001	-9.0444859e-002	3.5136329e-002	1.3288160e-001	6.7142244e-002	-3.9385653e-002	2.0571749e-001	9.5313551e-001	-2.6343690e-001	-1.2458678e-002	-9.9902820e-001	-9.9464403e-001	-9.9675098e-001	-9.9907622e-001	-9.9477697e-001	-9.9688740e-001	8.7877147e-001	-2.8187025e-001	-2.0073203e-002	9.7318829e-001	-2.3399273e-001	-1.0411871e-002	-3.0718679e-001	8.7245047e-001	-8.8386424e-001	-9.9935397e-001	-9.9920071e-001	-9.9491334e-001	-9.9723758e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.0425282e-001	3.5550763e-001
Subject 22	2.7715238e-001	-1.7983328e-002	-1.0660117e-001	-9.9776322e-001	-9.8995727e-001	-9.9658567e-001	-9.9829082e-001	-9.8966870e-001	-9.9670045e-001	-9.4147242e-001	-5.7295816e-001	-8.1751965e-001	8.4968627e-001	6.8945922e-001	8.4986038e-001	-9.9765121e-001	-9.9998837e-001	-9.9994100e-001	-9.9994895e-001	-9.9823553e-001	-9.9036905e-001	-9.9530740e-001	-7.4225103e-001	-7.3493716e-001	-6.0461322e-001	4.4536515e-001	-2.4991967e-001	2.8219017e-001	-1.1423130e-001	3.9844752e-001	-1.7642482e-001	9.1882618e-002	1.8063909e-001	4.6733893e-001	-7.4143456e-002	3.7623525e-002	3.7902118e-002	1.1619943e-001	1.0881227e-001	1.1959726e-001	9.5318325e-001	-2.6189643e-001	-1.2015606e-002	-9.9904052e-001	-9.9499448e-001	-9.9536331e-001	-9.9894485e-001	-9.9516342e-001	-9.9527454e-001	8.7861680e-001	-2.8149769e-001	-1.9785586e-002	9.7318829e-001	-2.3351308e-001	-1.0411871e-002	-3.1246224e-001	8.7257568e-001	-8.8531821e-001	-9.9938473e-001	-9.9883819e-001	-9.9575777e-001	-9.9485478e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-2.5887419e-001	2.9814548e-001
Subject 23	2.7567630e-001	-2.1264234e-002	-1.1080122e-001	-9.9786211e-001	-9.9009076e-001	-9.9459257e-001	-9.9833345e-001	-9.8947266e-001	-9.9448451e-001	-9.4456672e-001	-5.7528783e-001	-8.1751965e-001	8.4968627e-001	6.8945922e-001	8.4137235e-001	-9.9562527e-001	-9.9998832e-001	-9.9991263e-001	-9.9990737e-001	-9.9824944e-001	-9.9071117e-001	-9.9455936e-001	-7.9605084e-001	-8.1314755e-001	-6.9259835e-001	3.2255400e-001	-1.2692706e-001	1.2110291e-001	8.9860259e-002	3.4089819e-001	-1.4109330e-001	1.4608733e-001	4.5064128e-002	4.9078427e-001	-2.0440761e-001	2.2764700e-001	-1.9675799e-001	-9.7758652e-002	8.4406452e-002	1.0756232e-001	9.5309294e-001	-2.6245862e-001	-1.1512171e-002	-9.9833263e-001	-9.9198868e-001	-9.9706732e-001	-9.9827396e-001	-9.9192076e-001	-9.9722501e-001	8.7861680e-001	-2.8149769e-001	-1.9785586e-002	9.7269154e-001	-2.3493193e-001	-1.0142149e-002	-3.1245443e-001	8.7233892e-001	-8.8478599e-001	-9.9941999e-001	-9.9820200e-001	-9.9224966e-001	-9.9744189e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.3166912e-001	3.6414095e-001
Subject 24	2.7920020e-001	-1.7714427e-002	-1.0916135e-001	-9.9838929e-001	-9.8730784e-001	-9.9083159e-001	-9.9886852e-001	-9.8677131e-001	-9.8963739e-001	-9.4367519e-001	-5.6780337e-001	-8.2543702e-001	8.5001518e-001	6.9190301e-001	8.4137235e-001	-9.9512555e-001	-9.9999178e-001	-9.9992007e-001	-9.9983682e-001	-9.9928724e-001	-9.8696053e-001	-9.8791496e-001	-7.2891185e-001	-6.2171508e-001	-6.0920547e-001	2.9575672e-001	-7.5732760e-002	-2.7520221e-002	2.3877170e-001	2.4623889e-001	-1.1538474e-001	2.3117192e-001	-8.6456111e-002	3.5122763e-001	-1.6057288e-001	1.2309791e-001	-1.0820783e-002	-4.1202468e-002	-3.9424574e-002	4.3650203e-001	9.5273161e-001	-2.6500697e-001	-1.2703514e-002	-9.9849937e-001	-9.9227999e-001	-9.9292597e-001	-9.9848127e-001	-9.9229577e-001	-9.9264043e-001	8.7858596e-001	-2.8236083e-001	-1.9791384e-002	9.7263986e-001	-2.3580584e-001	-1.1413149e-002	-3.0304553e-001	8.7139136e-001	-8.8237099e-001	-9.9933445e-001	-9.9846861e-001	-9.9276713e-001	-9.9208613e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.5098761e-001	3.6617151e-001
Subject 25	2.8171549e-001	-1.1910678e-002	-1.0287513e-001	-9.9853388e-001	-9.8848901e-001	-9.9318367e-001	-9.9867433e-001	-9.8854392e-001	-9.9328718e-001	-9.4255883e-001	-5.6386922e-001	-8.1539879e-001	8.5252893e-001	6.9354066e-001	8.4726168e-001	-9.9440150e-001	-9.9998971e-001	-9.9988140e-001	-9.9984500e-001	-9.9844717e-001	-9.9068384e-001	-9.9355036e-001	-6.4067755e-001	-4.5340072e-001	-4.7274791e-001	1.7646672e-001	-1.1826038e-002	-2.9310417e-002	2.0573145e-001	2.1346949e-001	-9.8318885e-002	8.7367711e-002	-2.4368358e-002	4.2089836e-001	-1.3733979e-001	-7.2603854e-002	-8.6808411e-003	-2.2370213e-001	-4.6623440e-002	2.6522187e-001	9.5321880e-001	-2.6504320e-001	-1.3126421e-002	-9.9749379e-001	-9.9145541e-001	-9.9475932e-001	-9.9738149e-001	-9.9183216e-001	-9.9500224e-001	8.7914624e-001	-2.8155480e-001	-1.9939193e-002	9.7263986e-001	-2.3580584e-001	-1.1413149e-002	-3.0088027e-001	8.7266922e-001	-8.8233553e-001	-9.9930451e-001	-9.9726006e-001	-9.9348553e-001	-9.9545569e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-2.3249122e-001	2.4204734e-001
Subject 26	2.7899267e-001	-1.4531029e-002	-1.0659617e-001	-9.9805969e-001	-9.8606983e-001	-9.9342424e-001	-9.9805916e-001	-9.8519239e-001	-9.9501788e-001	-9.4255883e-001	-5.6386922e-001	-8.1539879e-001	8.5044026e-001	6.9188515e-001	8.4156459e-001	-9.9565454e-001	-9.9998990e-001	-9.9989741e-001	-9.9988911e-001	-9.9728846e-001	-9.8613939e-001	-9.9736787e-001	-6.6777064e-001	-5.1727554e-001	-5.5463089e-001	3.0073238e-001	-1.3853724e-001	2.8876140e-001	-8.9848413e-002	3.0241639e-001	-1.8190834e-001	2.3543096e-001	-1.9736813e-001	4.2456054e-001	-8.2530588e-002	-1.0979243e-001	5.4030100e-002	1.3194588e-001	2.7857064e-001	2.8104887e-001	9.5419361e-001	-2.6194319e-001	-1.1180786e-002	-9.9796817e-001	-9.8848774e-001	-9.9047056e-001	-9.9780025e-001	-9.8821777e-001	-9.9012748e-001	8.7998110e-001	-2.8034554e-001	-1.8279905e-002	9.7384493e-001	-2.3540523e-001	-1.1160708e-002	-3.1262308e-001	8.7522686e-001	-8.8526668e-001	-9.9943833e-001	-9.9754514e-001	-9.8828121e-001	-9.8980171e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-2.3685472e-001	2.5745982e-001
Subject 27	2.7573444e-001	-1.8018840e-002	-1.0677578e-001	-9.9925496e-001	-9.9366888e-001	-9.9418880e-001	-9.9940654e-001	-9.9362014e-001	-9.9358295e-001	-9.4288961e-001	-5.7586911e-001	-8.2266472e-001	8.5044026e-001	6.9127318e-001	8.4156459e-001	-9.9824199e-001	-9.9999640e-001	-9.9996669e-001	-9.9990523e-001	-9.9912839e-001	-9.9371261e-001	-9.9224589e-001	-8.2687310e-001	-7.5315631e-001	-5.7251114e-001	5.0402550e-001	-1.9520246e-001	2.6626062e-001	-9.8672529e-002	4.9156335e-001	-2.7094132e-001	3.9031747e-001	-1.3646180e-001	4.6938300e-001	-1.1459019e-001	4.9629795e-002	6.8977860e-003	1.4266263e-001	7.9348194e-002	2.5680704e-001	9.5458893e-001	-2.6049928e-001	-9.9594009e-003	-9.9900508e-001	-9.9730066e-001	-9.9773765e-001	-9.9900394e-001	-9.9721134e-001	-9.9774460e-001	8.7998110e-001	-2.8034554e-001	-1.8208879e-002	9.7436858e-001	-2.3064937e-001	-8.3157299e-003	-3.1904764e-001	8.7626443e-001	-8.8663004e-001	-9.9952063e-001	-9.9900491e-001	-9.9694562e-001	-9.9762048e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-1.9782647e-001	2.2163515e-001
Subject 28	1.4450396e-001	1.8926326e-001	6.2769317e-002	-9.0429967e-001	-1.8193654e-001	-4.4315051e-001	-9.0110019e-001	-1.1081268e-001	-4.0059935e-001	-9.3189578e-001	4.2098681e-002	-3.3652580e-001	7.1647623e-001	6.5581306e-001	8.0898559e-001	-5.3697289e-001	-9.9147358e-001	-7.9322292e-001	-8.1428623e-001	-8.9712813e-001	-1.5862471e-001	-4.0196407e-001	-4.8472227e-001	5.5583606e-001	1.7380770e-001	-4.1077609e-002	1.3076571e-002	7.3864994e-002	-3.1871724e-001	-2.7818848e-001	-1.0415121e-001	4.6032895e-001	-1.1399824e-001	-1.9921508e-001	-9.8337991e-002	5.2228156e-002	2.6252715e-001	-9.9084317e-001	-9.5033550e-001	9.8594537e-001	8.7409866e-001	4.2479149e-002	3.3309449e-001	-8.1418938e-001	-2.5461649e-001	-3.4244329e-001	-8.0702901e-001	-2.4906181e-001	-3.5495765e-001	8.6053314e-001	1.5158093e-001	4.0688316e-001	8.4957326e-001	-1.9754314e-001	1.1301998e-001	8.1578730e-002	6.7244755e-001	-9.5460358e-001	-7.6875065e-001	-7.8302306e-001	-2.4929859e-001	-4.4109235e-001	2.0080203e-001	1.2200461e-001	6.4780652e-001	-9.1393457e-001	9.1331398e-001
Subject 29	2.8725164e-001	-3.7455064e-002	-1.4597431e-001	-9.8291504e-001	-8.9160489e-001	-9.4143811e-001	-9.8441781e-001	-8.9137296e-001	-9.3336072e-001	-9.3189578e-001	-4.9953681e-001	-8.2469972e-001	8.2636555e-001	6.5581306e-001	8.0898559e-001	-9.3271174e-001	-9.9976274e-001	-9.9661166e-001	-9.9557478e-001	-9.8674576e-001	-9.0851518e-001	-9.2003497e-001	-2.3878855e-001	-4.8263791e-001	-6.9282311e-001	9.2021479e-002	-9.4523029e-002	4.3629598e-002	-1.6365159e-001	1.1063994e-002	-1.8915039e-001	1.4009630e-001	2.6391725e-001	3.4685234e-001	-3.1096581e-001	2.0994892e-001	-2.6012968e-001	-9.2931336e-001	-2.9980838e-001	4.3898480e-001	8.3566368e-001	1.6067501e-001	3.9982173e-001	-9.6038769e-001	-8.9611252e-001	-9.1088155e-001	-9.6622151e-001	-9.0545900e-001	-9.0838017e-001	7.9063055e-001	1.5158093e-001	4.0688316e-001	8.4957326e-001	1.2128980e-001	3.8425838e-001	2.9106714e-001	5.7709208e-001	-9.3761402e-001	-6.9232355e-001	-9.7397682e-001	-9.1551494e-001	-9.0103476e-001	-2.9796912e-001	9.2568022e-002	4.3937482e-002	-9.6775453e-001	9.6834514e-001
